pc, target_address, target_apiname
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c2a,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c2f,0x00000001400017c0,none
0x0000000140001c3d,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c42,0x00000001400017c0,none
0x0000000140001c50,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c55,0x00000001400017c0,none
0x0000000140001c63,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c68,0x0000000140001260,none
0x0000000140001283,0x00007ff98df33c90,VirtualAlloc
0x00000001400012c6,0x0000000140001830,none
0x00000001400012d2,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x00000001400012d7,0x0000000000ea0000,none
0x0000000140001c74,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c98,0x00007ff98df382f0,VirtualQuery
0x0000000140001cde,0x00007ff98df382b0,VirtualProtect
0x0000000140001d08,0x0000000140001e5b,none
0x0000000140001e82,0x0000000140001e53,none
0x0000000140001d19,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001d1e,0x0000000140001e5b,none
0x0000000140001d2f,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001d3b,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001d71,0x0000000140001110,none
0x0000000140001d85,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001d92,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001da5,0x00000001400012f0,none
0x000000014000137f,0x00007ff9846058b0,WinHttpOpen
0x00000001400013d4,0x00007ff984628630,WinHttpConnect
0x0000000140001438,0x00007ff98463f370,WinHttpOpenRequest
0x0000000140001496,0x00007ff984602a70,WinHttpSendRequest
0x00000001400014d3,0x00007ff9845f6a60,WinHttpReceiveResponse
0x000000014000151d,0x0000000140001770,none
0x00000001400017ab,0x00007ff984600590,WinHttpQueryHeaders
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x000000014000170e,0x00007ff984608e50,WinHttpCloseHandle
0x0000000140001722,0x00007ff984608e50,WinHttpCloseHandle
0x000000014000173c,0x00007ff984608e50,WinHttpCloseHandle
0x0000000140001db5,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001dd1,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x00000001400021d6,0x0000000140002a34,none
0x0000000140002a3a,0x00007ff98df3b450,GetModuleHandleW
0x0000000140002236,0x000000014000309a,none
